"id","altlabel","preflabel","wiki"
"361","Oude Ruyterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"362","Oude Ruiterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"363","Zaksteeg","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"364","Ruyterst","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"365","Ruyterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"366","Lange Ruyterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"367","Ruiterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"234","Lange Ruiters straat of Zak steeg","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"113","lange Veer straat","Lange Veerstraat","http://www.wikidata.org/entity/Q17286671"
"5","lange Vlaming straat","Lange Vlamingstraat","http://www.wikidata.org/entity/Q98075423"
"232","Lange Wijngaard straat","Lange Wijngaardstraat","http://www.wikidata.org/entity/Q19320206"
"194","Witte Lely of Slijk straat","Leliestraat","http://www.wikidata.org/entity/Q19324359"
"110","Tussen de Palen of Lepel straat","Lepelstraat","http://www.wikidata.org/entity/Q19325693"
"184","Vrouwe steeg","Lieve Vrouwe Gracht","http://www.wikidata.org/entity/Q19326667"
"130","Lombard steeg","Lombardsteeg","http://www.wikidata.org/entity/Q19329338"
"128","Magdalena straat","Magdalenastraat","http://www.wikidata.org/entity/Q19333786"
"360","Mr. Joostenlaan","Meesterjoostenlaan","http://www.wikidata.org/entity/Q19341901"
"159","Boeren steeg","Melkboersteeg","http://www.wikidata.org/entity/Q19342942"
"64","Minnebroeders steeg","Minnebroederssteeg","http://www.wikidata.org/entity/Q47008062"
"233","Morinne steeg","Morinnesteeg","http://www.wikidata.org/entity/Q19350593"
"121","Naauwe Appelaar steeg","Nauwe Appelaarsteeg","http://www.wikidata.org/entity/Q19353168"
"56","Het nieuwe Heilig land","Nieuw Heiligland","http://www.wikidata.org/entity/Q17286755"
"211","grote Krocht of nieuwe Groenmarkt","Nieuwe Groenmarkt","http://www.wikidata.org/entity/Q17286768"
"25","Het Nieuwe Kerks plein","Nieuwe Kerksplein","http://www.wikidata.org/entity/Q17286778"
"228","Nieuwe Kruis straat","Nieuwe Kruisstraat","http://www.wikidata.org/entity/Q19354869"
"16","lange Geuse straat","Nieuwe Raamstraat","http://www.wikidata.org/entity/Q19354997"
"28","Nieuwe Raam straat","Nieuwe Raamstraat","http://www.wikidata.org/entity/Q19354997"
"199","Nieuwe Spaarnwouder straat","Nieuwe Spaarnwouderstraat","http://www.wikidata.org/entity/Q19355040"
"247","Nobel straat","Nobelstraat","http://www.wikidata.org/entity/Q19371281"
"236","Noorder School straat","Noorder Schoolsteeg","http://www.wikidata.org/entity/Q19372763"
"61","Omvals poort","Omvalspoort","http://www.wikidata.org/entity/Q17286798"
"171","Ossenhoofd steeg","Ossenhoofdsteeg","http://www.wikidata.org/entity/Q19398494"
"111","oude Groenmarkt","Oude Groenmarkt","http://www.wikidata.org/entity/Q17286815"
"17","Oude Raam straat","Oude Raamstraat","http://www.wikidata.org/entity/Q19402054"
"368","Oude Rosestraat","Oude Rozenstraat","http://www.wikidata.org/entity/Q98128196"
"369","Oude Roosestraat","Oude Rozenstraat","http://www.wikidata.org/entity/Q98128196"
"370","Oude Rosestr.","Oude Rozenstraat","http://www.wikidata.org/entity/Q98128196"
"371","Roose straet","Oude Rozenstraat","http://www.wikidata.org/entity/Q98128196"
"241","Parelaars steeg","Paarlaarsteeg","http://www.wikidata.org/entity/Q19404406"
"359","Papentoorns Vest","Papentorenvest","http://www.wikidata.org/entity/Q19405529"
"357","Tweede Nieuwegragt","Parklaan","http://www.wikidata.org/entity/Q17195978"
"358","Agter Nieuwegragt","Parklaan","http://www.wikidata.org/entity/Q17195978"
"351","Korte Molensteeg","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"352","Korte Moolesteeg","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"353","Korte Moolensteeg","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"354","Rooselaantje","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"355","Roozelaantje","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"356","Korte Molenstraat","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"212","Het Rozenlaantje","Parkstraat","http://www.wikidata.org/entity/Q19406368"
"71","Patientie straat","Patiëntiestraat","http://www.wikidata.org/entity/Q19408607"
"348","Pavilloenslaan","Paviljoenslaan","http://www.wikidata.org/entity/Q19409431"
"349","Paveljoenslaan","Paviljoenslaan","http://www.wikidata.org/entity/Q19409431"
"350","Pavelloenslaan","Paviljoenslaan","http://www.wikidata.org/entity/Q19409431"
"101","Peuzelaar steeg","Peuzelaarsteeg","http://www.wikidata.org/entity/Q17487842"
"343","St. Pieterstraatje","Pieterstraat","http://www.wikidata.org/entity/Q19420861"
"344","St. Pietersteeg","Pieterstraat","http://www.wikidata.org/entity/Q19420861"
"345","Sintepetertje","Pieterstraat","http://www.wikidata.org/entity/Q19420861"
"346","St. Pietertje","Pieterstraat","http://www.wikidata.org/entity/Q19420861"
"347","Korte St. Pieterstraat","Pieterstraat","http://www.wikidata.org/entity/Q19420861"
"229","St. Pieters straat","Pieterstraat","http://www.wikidata.org/entity/Q19420861"
"341","Plantagie","Plantage","http://www.wikidata.org/entity/Q98120624"
"342","Plantage","Plantage","http://www.wikidata.org/entity/Q98120624"
"19","Het Popelings gat","Popelingstraat","http://www.wikidata.org/entity/Q19428291"
"276","Variant","Preflabel","Wikidata"
"250","Het Prinsen hof plein","Prinsenhof","http://www.wikidata.org/entity/Q19430921"
"340","Raax","Raaks","http://www.wikidata.org/entity/Q1986112"
"254","Raax","Raaks","http://www.wikidata.org/entity/Q1986112"
"337","Korte Raamlaan","Raamlaantje","http://www.wikidata.org/entity/Q98106983"
"338","Raam laantje","Raamlaantje","http://www.wikidata.org/entity/Q98106983"
"339","Raamlaan","Raamlaantje","http://www.wikidata.org/entity/Q98106983"
"191","Raam steeg","Raamsteeg","http://www.wikidata.org/entity/Q19460230"
"18","Vest","Raamvest","http://www.wikidata.org/entity/Q19460312"
"58","Ravelings steeg","Ravelingsteeg","http://www.wikidata.org/entity/Q19462519"
"335","Raavesteegje","Ravesteeg","http://www.wikidata.org/entity/Q98119256"
"336","Ravesteegje","Ravesteeg","http://www.wikidata.org/entity/Q98119256"
"11","Reekhuizen of Kraayehorste str.","Reekhuizen","http://www.wikidata.org/entity/Q98082616"
"334","Reekhuysen","Reekhuizen","http://www.wikidata.org/entity/Q98082616"
"226","Ridder straat","Ridderstraat","http://www.wikidata.org/entity/Q17286851"
"330","Roosemarynsteegje","Rozemarijnsteeg","http://www.wikidata.org/entity/Q98119399"
"331","Rosemarynsteegje","Rozemarijnsteeg","http://www.wikidata.org/entity/Q98119399"
"332","Rozemarynsteegje","Rozemarijnsteeg","http://www.wikidata.org/entity/Q98119399"
"333","Rozenmarijnsteeg","Rozemarijnsteeg","http://www.wikidata.org/entity/Q98119399"
"22","korte Rozen straat","Rozenstraat","http://www.wikidata.org/entity/Q19482954"
"325","Lustenburge-Laan","Rustenburgerlaan","http://www.wikidata.org/entity/Q19501291"
"326","Lustenburger-laan","Rustenburgerlaan","http://www.wikidata.org/entity/Q19501291"
"327","Lustenburgerlaan","Rustenburgerlaan","http://www.wikidata.org/entity/Q19501291"
"328","Rustenburger-laan","Rustenburgerlaan","http://www.wikidata.org/entity/Q19501291"
"329","Rustenburger Laan","Rustenburgerlaan","http://www.wikidata.org/entity/Q19501291"
"96","Schaggel straat","Schagchelstraat","http://www.wikidata.org/entity/Q17286890"
"324","Schalkwykerweg","Schalkwijkerstraat","http://www.wikidata.org/entity/Q19508327"
"156","Schepenmakers Dijk","Scheepmakersdijk","http://www.wikidata.org/entity/Q19508886"
"106","Postweg naar Alkmaar","Schoterweg","http://www.wikidata.org/entity/Q19511988"
"117","Wage poort","Simon de Vrieshof","http://www.wikidata.org/entity/Q19515040"
"207","Slagers poort","Slagerspoort","http://www.wikidata.org/entity/Q19517039"
"165","Sleutel straat","Sleutelstraat","http://www.wikidata.org/entity/Q19517445"
"231","Smede straat","Smedestraat","http://www.wikidata.org/entity/Q17286143"
"13","bereider straat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"316","Bereiderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"317","Bereyderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"318","Beryderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"319","Breyderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"320","Bryderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"321","berijderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"322","bereiderstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"323","Brijerstraat","Sophiastraat","http://www.wikidata.org/entity/Q19523235"
"164","Spaarnwouder straat","Spaarnwouderstraat","http://www.wikidata.org/entity/Q17286899"
"108","Spek straat","Spekstraat","http://www.wikidata.org/entity/Q17286911"
"197","Molen steeg","Spiegelstraat","http://www.wikidata.org/entity/Q19532966"
"311","Spykerlaan","Spijkermanslaan","http://www.wikidata.org/entity/Q19533112"
"312","Heeremanslaan","Spijkermanslaan","http://www.wikidata.org/entity/Q19533112"
"313","Heeremans- of Spykerlaan","Spijkermanslaan","http://www.wikidata.org/entity/Q19533112"
"314","spijkerlaan","Spijkermanslaan","http://www.wikidata.org/entity/Q19533112"
"315","lange spijkersmanslaan","Spijkermanslaan","http://www.wikidata.org/entity/Q19533112"
"306","Steene-Muurs-Laan","Stenenmuurslaan","http://www.wikidata.org/entity/Q98119906"
"307","Steenemuur","Stenenmuurslaan","http://www.wikidata.org/entity/Q98119906"
"308","Steenemuurslaan","Stenenmuurslaan","http://www.wikidata.org/entity/Q98119906"
"309","Steene Muur","Stenenmuurslaan","http://www.wikidata.org/entity/Q98119906"
"310","Steenemuurs-Laan","Stenenmuurslaan","http://www.wikidata.org/entity/Q98119906"
"4","Tuchthuis straat","Tuchthuisstraat","http://www.wikidata.org/entity/Q19573642"
"93","Turf steeg","Turfsteeg","http://www.wikidata.org/entity/Q19574623"
"305","2e Hooglandslaan","Tweede Hooglandslaan","http://www.wikidata.org/entity/Q98095856"
"209","St. Ursula steeg","Ursulastraat","http://www.wikidata.org/entity/Q17286913"
"153","Valken steeg","Valkestraat","http://www.wikidata.org/entity/Q19577262"
"147","Vrouwe steeg","Vrouwestraat","http://www.wikidata.org/entity/Q19643184"
"304","Oude Kruisstraat","Waaigat","http://www.wikidata.org/entity/Q98120222"
"29","Wale Tuin straat","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"295","Basaerdensteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"296","Basaertsteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"297","Walentuyn","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"298","Waale Tuynsteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"299","Waletuinsteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"300","Wale Tuynsteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"301","Waale-Tuynsteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"302","Walentuynstraat","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"303","Waaletuynsteeg","Walentuinstraat","http://www.wikidata.org/entity/Q98088584"
"109","Warmoes straat","Warmoesstraat","http://www.wikidata.org/entity/Q17286916"
"6","Wester Bogaard straat","Wester Bogaardstraat","http://www.wikidata.org/entity/Q19649900"
"291","Westersteeg","Wester Bogaardstraat","http://www.wikidata.org/entity/Q19649900"
"292","’t Westertje","Wester Bogaardstraat","http://www.wikidata.org/entity/Q19649900"
"293","Westertje","Wester Bogaardstraat","http://www.wikidata.org/entity/Q19649900"
"294","Westerstraatje","Wester Bogaardstraat","http://www.wikidata.org/entity/Q19649900"
"119","Wijde Appelaar steeg","Wijde Appelaarsteeg","http://www.wikidata.org/entity/Q19653405"
"281","Geldelozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"282","Geldeloozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"283","Geldeloosepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"284","Geldelosepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"285","Wyde Geldeloosepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"286","Weyde Geldeloozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"287","Wye Geldeloozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"288","Wyde Geldeloozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"289","Wyde Geldelozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"290","Wyde Geldeloozepad","Wijde Geldelozepad","http://www.wikidata.org/entity/Q19653414"
"168","Wijde steeg","Wijdesteeg","http://www.wikidata.org/entity/Q19653443"
"138","Witte Heerensteeg","Witte Herenstraat","http://www.wikidata.org/entity/Q17286921"
"10","Wol straat","Wolstraat","http://www.wikidata.org/entity/Q18948699"
"141","Zak steeg","Zakstraat","http://www.wikidata.org/entity/Q18950558"
"277","Korte Kraaienhorstergracht","Zijhuizen","http://www.wikidata.org/entity/Q18953977"
"278","Korte Krayenhorste Gragt","Zijhuizen","http://www.wikidata.org/entity/Q18953977"
"279","Korte Kraijenhorstergragt","Zijhuizen","http://www.wikidata.org/entity/Q18953977"
"280","Korte-Kraijenhorstergragt","Zijhuizen","http://www.wikidata.org/entity/Q18953977"
"76","Zij huizen","Zijhuizen","http://www.wikidata.org/entity/Q18953977"
"210","Zoetemelks, Wittebrood of Heerntating S.","Zoetestraat","http://www.wikidata.org/entity/Q18955375"
"69","Zonne steeg","Zonnesteeg","http://www.wikidata.org/entity/Q18956124"
"237","Zuider School straat","Zuider Schoolsteeg","http://www.wikidata.org/entity/Q18956939"
